(239, 57) -> {'timestamp': 1744266959.6050158, 'position': {'x': 239, 'y': 57}, 'accelerometer': {'x': 0.12, 'y': 0.14, 'z': 0.49}, 'battery_level': 70, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(242, 57) -> {'timestamp': 1744266964.1530817, 'position': {'x': 243, 'y': 57}, 'accelerometer': {'x': -0.07, 'y': -0.13, 'z': 0.24}, 'battery_level': 66, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(244, 60) -> {'timestamp': 1744266968.5783536, 'position': {'x': 244, 'y': 61}, 'accelerometer': {'x': -0.02, 'y': 0.0, 'z': -0.26}, 'battery_level': 61, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': False}}
(241, 62) -> {'timestamp': 1744266973.513254, 'position': {'x': 240, 'y': 62}, 'accelerometer': {'x': -0.03, 'y': -0.02, 'z': -0.23}, 'battery_level': 56, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(233, 62) -> {'timestamp': 1744266978.3331587, 'position': {'x': 231, 'y': 62}, 'accelerometer': {'x': -0.04, 'y': -0.0, 'z': -0.38}, 'battery_level': 47, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(229, 59) -> {'timestamp': 1744266983.160161, 'position': {'x': 229, 'y': 58}, 'accelerometer': {'x': 0.04, 'y': -0.1, 'z': -0.41}, 'battery_level': 41, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': False}}
(232, 57) -> {'timestamp': 1744266987.7383733, 'position': {'x': 233, 'y': 57}, 'accelerometer': {'x': -0.1, 'y': 0.09, 'z': -0.09}, 'battery_level': 36, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(239, 57) -> {'timestamp': 1744266992.2442844, 'position': {'x': 241, 'y': 57}, 'accelerometer': {'x': 0.14, 'y': -0.01, 'z': -0.39}, 'battery_level': 28, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': False}}
(159, 25) -> {'timestamp': 1744267012.6292908, 'position': {'x': 159, 'y': 25}, 'accelerometer': {'x': -0.09, 'y': -0.05, 'z': -0.34}, 'battery_level': 61, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(155, 25) -> {'timestamp': 1744267018.7987874, 'position': {'x': 153, 'y': 25}, 'accelerometer': {'x': 0.05, 'y': 0.02, 'z': 0.41}, 'battery_level': 55, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
(163, 12) -> {'timestamp': 1744267930.3672788, 'position': {'x': 163, 'y': 12}, 'accelerometer': {'x': -0.19, 'y': -0.13, 'z': -0.23}, 'battery_level': 50, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': False}}
(166, 12) -> {'timestamp': 1744267935.0389397, 'position': {'x': 167, 'y': 12}, 'accelerometer': {'x': -0.19, 'y': 0.1, 'z': -0.49}, 'battery_level': 46, 'communication_status': 'Active', 'recharging': True, 'ultrasonic': {'distance': None, 'detection': False}, 'ir': {'reflection': False}, 'rfid': {'tag_detected': True}}
